"","year","time","vr","receiver","Afreq","a","tag"
"856943","2021","0:27","VR2W180","301886","A180","1702","53786"
"857236","2021","22:39","VR2W180","301886","A180","1702","53786"
"857239","2021","22:49","VR2W180","301886","A180","1702","53786"
"857242","2021","22:53","VR2W180","301886","A180","1702","53786"
"857245","2021","22:58","VR2W180","301886","A180","1702","53786"
"857248","2021","23:07","VR2W180","301886","A180","1702","53786"
"857250","2021","23:09","VR2W180","301886","A180","1702","53786"
"857251","2021","23:12","VR2W180","301886","A180","1702","53786"
"857252","2021","23:28","VR2W180","301886","A180","1702","53786"
"857253","2021","23:33","VR2W180","301886","A180","1702","53786"
"857255","2021","23:35","VR2W180","301886","A180","1702","53786"
"857257","2021","23:41","VR2W180","301886","A180","1702","53786"
"857259","2021","23:43","VR2W180","301886","A180","1702","53786"
"857261","2021","23:48","VR2W180","301886","A180","1702","53786"
"857263","2021","23:52","VR2W180","301886","A180","1702","53786"
"857265","2021","23:55","VR2W180","301886","A180","1702","53786"
"857266","2021","23:58","VR2W180","301886","A180","1702","53786"
"857267","2021","0:00","VR2W180","301886","A180","1702","53786"
"857269","2021","0:34","VR2W180","301886","A180","1702","53786"
"857270","2021","0:36","VR2W180","301886","A180","1702","53786"
"857272","2021","1:04","VR2W180","301886","A180","1702","53786"
"857274","2021","1:10","VR2W180","301886","A180","1702","53786"
"857275","2021","1:12","VR2W180","301886","A180","1702","53786"
"857286","2021","1:28","VR2W180","301886","A180","1702","53786"
"857346","2021","9:26","VR2W180","301886","A180","1702","53786"
"857405","2021","13:57","VR2W180","301886","A180","1702","53786"
"857406","2021","14:05","VR2W180","301886","A180","1702","53786"
"857407","2021","14:10","VR2W180","301886","A180","1702","53786"
"857408","2021","14:12","VR2W180","301886","A180","1702","53786"
"857411","2021","14:20","VR2W180","301886","A180","1702","53786"
"857414","2021","14:24","VR2W180","301886","A180","1702","53786"
"857415","2021","14:33","VR2W180","301886","A180","1702","53786"
"857416","2021","14:35","VR2W180","301886","A180","1702","53786"
"857417","2021","14:39","VR2W180","301886","A180","1702","53786"
"857418","2021","14:41","VR2W180","301886","A180","1702","53786"
"861154","2021","11:02","VR2W180","302950","A180","1702","53786"
"861158","2021","11:07","VR2W180","302950","A180","1702","53786"
"861161","2021","11:08","VR2W180","302950","A180","1702","53786"
"861162","2021","11:10","VR2W180","302950","A180","1702","53786"
"861168","2021","11:17","VR2W180","302950","A180","1702","53786"
"861179","2021","11:26","VR2W180","302950","A180","1702","53786"
"861183","2021","11:29","VR2W180","302950","A180","1702","53786"
"861184","2021","11:31","VR2W180","302950","A180","1702","53786"
"861186","2021","11:33","VR2W180","302950","A180","1702","53786"
"861190","2021","11:36","VR2W180","302950","A180","1702","53786"
"861193","2021","11:38","VR2W180","302950","A180","1702","53786"
"861200","2021","11:44","VR2W180","302950","A180","1702","53786"
"861205","2021","11:46","VR2W180","302950","A180","1702","53786"
"861208","2021","11:48","VR2W180","302950","A180","1702","53786"
"861209","2021","11:50","VR2W180","302950","A180","1702","53786"
"861215","2021","11:56","VR2W180","302950","A180","1702","53786"
